wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5278.824,77.66961,143.7663,2.70E+10,1.04E+10,2.18E+10,1.49E+10,3.57E+10,0.2054712,0.007084084,0.2939165,2.316879,2120.136,3924.377,1.851,33.49529,4.146631
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5278.9764,78.23864,141.9188,2.70E+10,1.05E+10,2.06E+10,1.36E+10,3.47E+10,0.1995849,0.004287295,0.2816656,2.311376,2147.722,3895.786,1.813937,32.30024,4.079095
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5279.1288,79.61099,141.8332,2.71E+10,1.07E+10,1.96E+10,1.25E+10,3.38E+10,0.1963787,0.002334317,0.2699975,2.286919,2149.004,3828.673,1.781604,30.01868,4.054093
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5279.2812,80.46581,143.9657,2.56E+10,1.00E+10,1.88E+10,1.21E+10,3.21E+10,0.1972242,0.001215993,0.2728342,2.260924,2117.194,3787.963,1.789149,27.51216,4.089509
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5279.4336,80.68034,145.1656,2.48E+10,9.72E+09,1.85E+10,1.20E+10,3.15E+10,0.2028016,0.000528239,0.2765203,2.253302,2099.677,3777.873,1.799267,29.05496,4.219269
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5279.586,80.18819,144.976,2.57E+10,1.01E+10,1.95E+10,1.28E+10,3.29E+10,0.2078106,0.000618196,0.2796062,2.274203,2102.417,3801.065,1.80795,34.84062,4.448094
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5279.7384,78.06495,143.17,2.74E+10,1.06E+10,2.16E+10,1.45E+10,3.58E+10,0.2050279,0.000281065,0.2884469,2.313772,2128.953,3904.577,1.83402,39.68002,4.674422
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5279.8908,76.68115,141.4008,2.82E+10,1.09E+10,2.26E+10,1.53E+10,3.72E+10,0.1997602,1.50E-05,0.2916997,2.336608,2155.59,3974.955,1.844017,42.10051,4.858293
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5280.0432,75.67591,139.7575,2.89E+10,1.12E+10,2.32E+10,1.58E+10,3.81E+10,0.1954426,0.000846347,0.2925858,2.350781,2180.934,4027.732,1.846791,41.02289,4.901134
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5280.1956,73.93475,134.1034,3.16E+10,1.23E+10,2.41E+10,1.59E+10,4.06E+10,0.1928879,0.004263244,0.2816139,2.367385,2273.056,4122.657,1.813771,41.62585,4.793902
