wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5238.3464,65.20747,120.122,4.09E+10,1.59E+10,3.26E+10,2.21E+10,5.38E+10,0.1290576,0.001492141,0.2910179,2.459846,2538.025,4674.72,1.842046,15.54931,5.17539
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5238.4988,66.4926,123.3757,3.85E+10,1.49E+10,3.14E+10,2.15E+10,5.12E+10,0.13879,0.002879965,0.295322,2.435861,2470.657,4584.358,1.855503,13.18179,5.263037
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5238.6512,67.63773,125.2699,3.68E+10,1.42E+10,2.98E+10,2.04E+10,4.88E+10,0.1485678,0.004525569,0.294253,2.403674,2433.239,4506.534,1.852072,13.31926,5.374636
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5238.8036,68.4276,126.9591,3.55E+10,1.37E+10,2.89E+10,1.98E+10,4.72E+10,0.1567912,0.005762568,0.2952708,2.378317,2400.887,4454.427,1.855358,10.34077,5.435217
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5238.956,68.65432,127.8304,3.50E+10,1.35E+10,2.88E+10,1.98E+10,4.68E+10,0.1624014,0.005611223,0.2973111,2.372878,2384.436,4439.688,1.861944,11.40997,5.416941
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5239.1084,68.24927,126.9707,3.57E+10,1.38E+10,2.93E+10,2.01E+10,4.76E+10,0.1643871,0.003687064,0.296833,2.387029,2400.575,4465.993,1.860392,13.99133,5.326833
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5239.2608,67.7742,125.6649,3.67E+10,1.42E+10,2.98E+10,2.04E+10,4.87E+10,0.1622249,0.001222204,0.2948957,2.408873,2425.681,4497.483,1.854144,15.1856,5.23308
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5239.4132,67.07785,123.7156,3.80E+10,1.47E+10,3.04E+10,2.06E+10,5.01E+10,0.1576715,0.000224831,0.2917901,2.424699,2463.785,4543.989,1.844346,16.08391,5.198845
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5239.5656,66.71428,122.1343,3.90E+10,1.51E+10,3.05E+10,2.04E+10,5.07E+10,0.1537844,7.45E-06,0.2873397,2.42937,2495.764,4568.811,1.83068,14.22044,5.214707
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5239.718,66.26579,120.8678,3.97E+10,1.54E+10,3.08E+10,2.05E+10,5.14E+10,0.1509723,1.50E-05,0.2851201,2.427137,2521.764,4599.671,1.82399,14.02188,5.24909
