wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5137.6656,59.33839,103.2437,5.53E+10,2.21E+10,3.74E+10,2.27E+10,6.68E+10,0.09246649,0.006167321,0.2533623,2.531384,2952.276,5136.672,1.73991,15.36974,4.69903
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5137.818,59.50204,103.9614,5.48E+10,2.18E+10,3.75E+10,2.30E+10,6.66E+10,0.09778467,0.001616915,0.256406,2.53715,2931.882,5122.517,1.747188,15.0496,4.655064
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5137.9704,59.8702,106.6991,5.28E+10,2.08E+10,3.83E+10,2.44E+10,6.60E+10,0.09723809,0.000354721,0.2699875,2.547339,2857.288,5091.079,1.7821,14.70834,4.621171
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5138.1228,59.61481,107.9921,5.21E+10,2.04E+10,3.97E+10,2.61E+10,6.68E+10,0.09760565,6.97E-05,0.280813,2.554626,2822.437,5112.91,1.81154,14.62814,4.592397
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5138.2752,59.67328,106.1616,5.36E+10,2.11E+10,3.87E+10,2.46E+10,6.68E+10,0.0974564,0.000128007,0.2687738,2.561833,2871.469,5107.84,1.779103,14.51091,4.553493
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5138.4276,59.5969,105.4249,5.43E+10,2.15E+10,3.85E+10,2.42E+10,6.72E+10,0.09689102,0.000243919,0.265171,2.567495,2891.157,5114.375,1.768972,14.39925,4.523471
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5138.58,59.47232,106.4671,5.35E+10,2.10E+10,3.93E+10,2.53E+10,6.74E+10,0.09790926,0.000412349,0.2731522,2.56524,2862.963,5125.076,1.790203,14.0426,4.531454
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5138.7324,59.35569,107.0738,5.29E+10,2.07E+10,3.98E+10,2.60E+10,6.74E+10,0.1030407,0.00011573,0.2781844,2.554987,2846.638,5135.149,1.803939,13.88124,4.580715
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5138.8848,59.2574,105.9865,5.37E+10,2.11E+10,3.93E+10,2.53E+10,6.74E+10,0.1115014,6.22E-05,0.2725603,2.548639,2875.977,5143.664,1.78857,13.51925,4.568196
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5139.0372,58.93525,105.434,5.42E+10,2.13E+10,3.97E+10,2.56E+10,6.81E+10,0.1174415,5.98E-05,0.2727682,2.547177,2890.909,5171.83,1.788995,13.34527,4.544805
