wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ,,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4949.2964,58.04639,101.0834,5.92E+10,2.36E+10,4.01E+10,2.43E+10,7.15E+10,0.02383218,0.000889002,0.2539271,2.594098,3015.592,5251.033,1.74139,43.46562,5.898795,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4949.4488,58.02677,101.0041,5.95E+10,2.37E+10,4.02E+10,2.44E+10,7.18E+10,0.02757322,0.005439653,0.253665,2.603695,3017.736,5252.756,1.740642,45.49739,6.041917,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4949.6012,57.81364,104.9893,5.67E+10,2.21E+10,4.34E+10,2.86E+10,7.29E+10,0.03142668,0.01128738,0.2813622,2.621429,2904.79,5272.158,1.816137,43.59664,6.155513,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4949.7536,57.48004,106.9225,5.57E+10,2.15E+10,4.57E+10,3.14E+10,7.44E+10,0.03713414,0.01552332,0.2967465,2.64484,2850.674,5302.744,1.860188,38.40553,6.358834,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4949.906,58.30132,106.9328,5.59E+10,2.17E+10,4.41E+10,2.96E+10,7.30E+10,0.04468317,0.01805263,0.2883967,2.668962,2850.39,5228.577,1.834353,34.21458,6.760756,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4950.0584,59.60444,107.8587,5.42E+10,2.12E+10,4.11E+10,2.70E+10,6.93E+10,0.05548763,0.01778985,0.2801788,2.649,2826.019,5114.229,1.809649,31.93101,7.304727,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4950.2108,59.39193,111.714,4.99E+10,1.92E+10,4.21E+10,2.93E+10,6.76E+10,0.09723374,0.01807305,0.302146,2.568818,2729.53,5132.239,1.881299,31.30683,7.937174,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4950.3632,59.65736,114.733,4.63E+10,1.76E+10,4.16E+10,2.99E+10,6.51E+10,0.1631336,0.01935027,0.3147059,2.492395,2656.811,5109.35,1.923165,28.75939,8.282899,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4950.5156,59.59893,116.5604,4.48E+10,1.69E+10,4.22E+10,3.09E+10,6.47E+10,0.2258694,0.02015688,0.3229186,2.474894,2615.067,5114.237,1.955806,21.4955,7.99367,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4950.668,60.61103,117.1176,4.47E+10,1.70E+10,4.08E+10,2.95E+10,6.34E+10,0.256873,0.01947572,0.3170126,2.507896,2602.512,5029.56,1.932572,15.64632,7.090435,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4950.8204,61.82988,115.7503,4.57E+10,1.76E+10,3.82E+10,2.64E+10,6.16E+10,0.2254247,0.01885143,0.300132,2.534781,2633.417,4929.953,1.872306,14.20984,6.17085,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4950.9728,61.29589,112.683,4.81E+10,1.86E+10,3.81E+10,2.57E+10,6.29E+10,0.1678727,0.01457287,0.2898064,2.544503,2705.487,4973.01,1.838257,15.02676,5.739109,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4951.1252,61.31647,109.5165,5.03E+10,1.98E+10,3.67E+10,2.35E+10,6.30E+10,0.1277774,0.00970202,0.271307,2.55137,2783.579,4971.018,1.786212,15.94711,5.627886,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4951.2776,61.63597,108.3732,5.09E+10,2.02E+10,3.55E+10,2.20E+10,6.24E+10,0.1170099,0.00741611,0.2609296,2.553203,2812.509,4945.178,1.758287,15.60551,5.576679,,
