wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ,,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5404.3444,51.25892,94.32963,7.00E+10,2.71E+10,5.59E+10,3.78E+10,9.20E+10,0.1695577,0.008275411,0.2901533,2.597483,3231.249,5949.802,1.841223,20.55321,8.666802,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5404.4968,49.35999,93.22991,7.29E+10,2.79E+10,6.24E+10,4.38E+10,9.97E+10,0.2778688,0.01152268,0.3052551,2.612522,3269.553,6176.323,1.888947,22.31853,9.006026,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5404.6492,48.77218,91.68464,7.53E+10,2.89E+10,6.36E+10,4.43E+10,1.02E+11,0.3808906,0.01339901,0.3025762,2.615523,3324.675,6249.465,1.879862,25.23392,9.425791,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5404.8016,48.86907,90.73276,7.62E+10,2.94E+10,6.22E+10,4.26E+10,1.01E+11,0.4381883,0.01398425,0.295661,2.606555,3359.342,6237.086,1.856661,26.982,9.803426,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5404.954,49.19249,89.8446,7.75E+10,3.01E+10,6.03E+10,4.02E+10,1.00E+11,0.4279916,0.01180778,0.285787,2.617428,3392.665,6196.2,1.826482,29.09307,9.991401,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5405.1064,49.41488,88.64488,8.03E+10,3.15E+10,5.93E+10,3.83E+10,1.01E+11,0.3887137,0.008406951,0.2744954,2.66363,3438.598,6168.184,1.793897,30.74693,10,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5405.2588,49.902,85.24783,8.55E+10,3.46E+10,5.46E+10,3.15E+10,1.01E+11,0.3491262,0.00589725,0.2368833,2.701587,3578.426,6108.364,1.708811,33.43591,9.973133,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5405.4112,50.57859,83.04593,8.81E+10,3.65E+10,4.98E+10,2.54E+10,9.85E+10,0.3082358,0.004257588,0.205097,2.71277,3670.261,6026.459,1.64198,37.39961,9.878736,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5405.5636,51.18549,84.68036,8.52E+10,3.52E+10,4.93E+10,2.58E+10,9.62E+10,0.2671702,0.003301446,0.2117784,2.711677,3600.494,5955.042,1.654271,39.61246,9.7509,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5405.716,52.30581,86.64036,8.15E+10,3.36E+10,4.74E+10,2.50E+10,9.22E+10,0.2337046,0.0030638,0.2132286,2.713176,3518.166,5828.431,1.656584,39.9427,9.655261,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5405.8684,52.49161,86.86376,8.14E+10,3.36E+10,4.72E+10,2.48E+10,9.19E+10,0.2152788,0.004123753,0.2123623,2.726015,3508.975,5806.952,1.654865,33.89238,9.606422,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5406.0208,52.01762,87.25833,8.19E+10,3.35E+10,4.95E+10,2.72E+10,9.42E+10,0.2093365,0.005187253,0.224208,2.742647,3493.207,5859.591,1.677513,25.09908,9.55278,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5406.1732,51.28645,88.41658,8.16E+10,3.27E+10,5.37E+10,3.18E+10,9.73E+10,0.2082604,0.00473929,0.2460193,2.754416,3447.479,5943.739,1.724287,15.74861,9.469348,,
